,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
249,ARRIVALS,RU,2021.0,245.4
250,ARRIVALS,CN,2012.0,10.1
251,ARRIVALS,CN,2013.0,0.0
252,ARRIVALS,CN,2014.0,0.0
253,ARRIVALS,CN,2015.0,14.2
254,ARRIVALS,CN,2016.0,0.0
255,ARRIVALS,CN,2017.0,0.0
256,ARRIVALS,CN,2018.0,0.0
257,ARRIVALS,CN,2019.0,17.0
258,ARRIVALS,CN,2020.0,0.0
259,ARRIVALS,CN,2021.0,0.0
260,ARRIVALS,LT,2012.0,1982.7
261,ARRIVALS,LT,2013.0,2051.4
262,ARRIVALS,LT,2014.0,2221.8
263,ARRIVALS,LT,2015.0,2638.4
264,ARRIVALS,LT,2016.0,2747.4
265,ARRIVALS,LT,2017.0,2896.6
266,ARRIVALS,LT,2018.0,2733.6
267,ARRIVALS,LT,2019.0,2826.0
268,ARRIVALS,LT,2020.0,1341.2
269,ARRIVALS,LT,2021.0,569.0
270,ARRIVALS,MD,2012.0,8.7
271,ARRIVALS,MD,2013.0,8.6
272,ARRIVALS,MD,2014.0,5.2
273,ARRIVALS,MD,2015.0,5.1
274,ARRIVALS,MD,2016.0,7.2
275,ARRIVALS,MD,2017.0,6.0
276,ARRIVALS,MD,2018.0,0.0
277,ARRIVALS,MD,2019.0,8.2
278,ARRIVALS,MD,2020.0,0.0
279,ARRIVALS,MD,2021.0,0.0
280,ARRIVALS,NL,2012.0,39.8
281,ARRIVALS,NL,2013.0,49.0
282,ARRIVALS,NL,2014.0,53.7
283,ARRIVALS,NL,2015.0,64.6
284,ARRIVALS,NL,2016.0,0.0
285,ARRIVALS,NL,2017.0,29.7
286,ARRIVALS,NL,2018.0,36.8
287,ARRIVALS,NL,2019.0,23.2
288,ARRIVALS,NL,2020.0,9.0
289,ARRIVALS,NL,2021.0,13.2
290,ARRIVALS,NO,2012.0,126.3
291,ARRIVALS,NO,2013.0,127.3
292,ARRIVALS,NO,2014.0,117.6
293,ARRIVALS,NO,2015.0,131.6
294,ARRIVALS,NO,2016.0,0.0
295,ARRIVALS,NO,2017.0,72.6
296,ARRIVALS,NO,2018.0,84.4
297,ARRIVALS,NO,2019.0,83.0
298,ARRIVALS,NO,2020.0,22.9
299,ARRIVALS,NO,2021.0,21.6
300,ARRIVALS,PL,2012.0,212.8
301,ARRIVALS,PL,2013.0,230.2
302,ARRIVALS,PL,2014.0,204.0
303,ARRIVALS,PL,2015.0,201.1
304,ARRIVALS,PL,2016.0,249.5
305,ARRIVALS,PL,2017.0,307.2
306,ARRIVALS,PL,2018.0,267.5
307,ARRIVALS,PL,2019.0,293.9
308,ARRIVALS,PL,2020.0,147.6
309,ARRIVALS,PL,2021.0,66.0
310,ARRIVALS,PT,2012.0,8.1
311,ARRIVALS,PT,2013.0,0.0
312,ARRIVALS,PT,2014.0,9.9
313,ARRIVALS,PT,2015.0,8.7
314,ARRIVALS,PT,2016.0,8.2
315,ARRIVALS,PT,2017.0,6.0
316,ARRIVALS,PT,2018.0,6.2
317,ARRIVALS,PT,2019.0,11.3
318,ARRIVALS,PT,2020.0,0.0
319,ARRIVALS,PT,2021.0,0.0
320,ARRIVALS,RO,2012.0,5.3
321,ARRIVALS,RO,2013.0,4.6
322,ARRIVALS,RO,2014.0,4.4
323,ARRIVALS,RO,2015.0,5.9
324,ARRIVALS,RO,2016.0,5.3
325,ARRIVALS,RO,2017.0,5.7
326,ARRIVALS,RO,2018.0,5.2
327,ARRIVALS,RO,2019.0,7.2
328,ARRIVALS,RO,2020.0,0.0
329,ARRIVALS,RO,2021.0,0.0
330,ARRIVALS,SK,2012.0,12.1
331,ARRIVALS,SK,2013.0,11.0
332,ARRIVALS,SK,2014.0,5.6
333,ARRIVALS,SK,2015.0,9.5
334,ARRIVALS,SK,2016.0,17.4
335,ARRIVALS,SK,2017.0,24.7
336,ARRIVALS,SK,2018.0,16.8
337,ARRIVALS,SK,2019.0,19.2
338,ARRIVALS,SK,2020.0,0.0
339,ARRIVALS,SK,2021.0,4.8
